id;start_date;end_date;language
1;2020-06-08T12:32:03;2020-06-08T10:22:18;SPANISH
2;2020-06-07T17:22:14;2020-06-08T12:26:39;SPANISH
3;2020-06-08T08:17:33;2020-06-07T18:51:42;FRENCH
4;2020-06-07T23:35:04;2020-06-08T11:06:30;FRENCH
5;2020-06-08T09:05:22;2020-06-08T13:52:21;FRENCH
6;2020-06-08T02:57:43;2020-06-08T15:05:57;FRENCH
7;2020-06-08T04:43:03;2020-06-07T22:33:54;FRENCH
8;2020-06-08T03:39:16;2020-06-08T13:55:24;SPANISH
9;2020-06-08T02:20:25;2020-06-07T23:01:48;SPANISH
10;2020-06-08T10:32:29;2020-06-07T21:06:59;SPANISH
